10690;ANOTACIONES FARMACEUTICAS, S.L.;Ctra. De Sant Cugat a Rubi, Km 1. Nº 40-50, 6ª planta;8174;Sant Cugat del Valles (Barcelona)
30807;NOVO NORDISK PHARMA;Boulevard International 55;1070;Anderlecht, Brussels-Capital Region
31982;LABORATORIOS BIAL S.A.;C/Alcala 265, Edificio 2, Planta 2;28027;Madrid
38216;ORGANON HEALTHCARE GMBH;Neuturmstrasse 5, Altstadt-Lehel;8031;Munich, Bavaria
38919;VEGAL FARMACEUTICA S.L.;Via De las Dos Castillas 9c Portal 2 2º C;28224;Pozuelo De Alarcon, madrid
38934;MACO SPANIA S.L.;Avenida de la Vega, 1, planta 3, edificio 3;28108;alcobendas, madrid
39382;PRIMEX PHARMACEUTICALS OY;Mannerheimintie 12b;100;Helsinki-Uusimaa
15855;PFIZER GEP S.L.;Avenida de Europa, 20 B – Parque Empresarial La Moraleja;28108;Alcobendas (Madrid)
15860;SILANES IDF S.L.;Paseo de la Castellana, 139, 2º A;28046;Madrid
16246;TEVA GMBH;Graf-Arco-Strabe 3, Donautal;D89079;Ulm, Baden-Württemberg
16632;GILEAD SCIENCES IRELAND UNLIMITED COMPANY;IDA Business and Technology Park, Carrigtohill;T45 DP77;Co. Cork
16645;BIOFRONTERA PHARMA GMBH, SUCURSAL EN ESPAÑA;Ceneco Centre de Negocis, Avenida de los Alpes, 48;8940;Cornella de Llobregat
16717;NORDIC PHARMA S.A.U.;Adolfo Perez Esquivel, 3 2ª planta Of 17, Edificio Las Americas III, Parque Empresarial Las Rozas;28232;Las Rozas, Madrid
16741;GENETIC S.P.A.;Via Giuseppe Della Monica 26;84083;Castel San Giorgio (SALERNO)
16915;HERBACOS RECORDATI S.R.O.;Generala Svobody, 335 (number of building lots 83/1, 83/2,726/2);533 51;Pardubice-Rosice nad Labem
40022;JNTL CONSUMER HEALTH (SPAIN) S.L.;Paseo Doce Estrellas 5-7;28042;Madrid
40847;RHYTHM PHARMACEUTICALS SPAIN, S.L.U.;Plaza Pablo Ruiz Picasso, 1;28020;Madrid
40867;IDORSIA PHARMACEUTICALS SPAIN S.L.;Paseo De La Castellana 79;28046;Madrid
70316;MOELNLYCKE HEALTH CARE AB;Entreprenörsstraket 21;SE-431 53;Mölndal
24172;INCYTE BIOSCIENCES IBERIA S.L.;Plaza de la Encina, 10-11 Nucleo 5, Planta 2ª, Modulo A;28760;Tres Cantos (Madrid)
3;ALCON CUSI, S.A.;Camil Fabra, 58.;8320;El Masnou (Barcelona)
17;3M ESPAÑA, S.A.;Juan Ignacio Luca de Tena, 19-25;28027;Madrid
106;ALLERGAN PHARMACEUTICALS IRELAND;Castlebar Road;F28 AW83;Westport, County Mayo
355;BAXTER S.L.;Gremis 7. Poligono Industrial Vara de Quart;46014;Valencia (Valencia)
410;BIAL INDUSTRIAL FARMACEUTICA, S.A.;Alameda de Urquijo, 27;48008;Bilbao (Vizcaya)
587;ESPECIALIDADES FARMACEUTICAS CENTRUM S.A.;Sagitario, 14;3006;Alicante
804;LABORATORIOS DIAFARM S.A.;Avda. Arraona, 119-123, Poligono Santiga.;8210;Barbera del Valles (Barcelona)
834;DOMPE' FARMACEUTICI S.P.A.;Via San Martino, 12-12/a;I-20122;Milan
884;DUNAR S.L.;Pirita, 9.;28850;Torrejón de Ardoz (Madrid)
946;LABORATORIOS ERN S.A.;Pedro IV, 499.;8020;BARCELONA
1100;FRESENIUS KABI AB;Rapsgastan, 7. Vaksala;754 50;Uppsala
1101;FRESENIUS KABI AUSTRIA GMBH;Hafnerstrasse, 36;A-8055;GRAZ
1140;LABORATORIOS GALDERMA S.A.;Agustin de Foxa, 29;28036;Madrid
1242;GUIDOTTI FARMA S.L.;Alfonso XII, 587;8918;Badalona (Barcelona)
1250;H. LUNDBECK A/S;Ottiliavej, 9;DK-2500;Copenhague-Valby
1390;LABORATORIOS INIBSA S.A.;Ctra Sabadell-Granollers, km 14,5.;8185;Lliça de Vall (Barcelona)
1455;IPSEN PHARMA S.A.;Ctra. Laurea Miro, 395;8980;Sant Feliu de Llobregat (Barcelona)
1457;IRISFARMA, S.A.;Avda. de la Industria, 30;28108;Alcobendas (Madrid)
1486;JANSSEN CILAG S.A.;Pº de Las Doce Estrellas,  5 - 7;28042;Madrid
1652;LESVI, S.A.;Argent, 1. Pol. Ind. Can Pelegri;8755;Castellbisbal (Barcelona)
1725;LABORATORIOS MADARIAGA S.L.;Electronica, 7. Polig.Industrial Urtinsa II.;28923;Alcorcon (Madrid)
2321;LABORATORIO QUIMIFAR S.A.;Comadran, 37;8210;Barbera del Valles (Barcelona)
2327;LABORATORIO QUIMPE S.L.;Cruz, 49.;29120;Alhaurín el Grande (Málaga)
2367;LABORATORIO REIG JOFRE, S.A.;Gran Capitan, 10.;8970;Sant Joan Despi (Barcelona)
2405;RHONE POULENC RORER  PHARMACEUTICAL CO.;Fort Washington;19034;Pensilvania
2455;ROHA ARZNEIMITTEL GMBH;Rockwinkeler Heerstrasse, 100;D-28355;BREMEN
2558;SCHAPER & BRUEMMER GMBH & CO. KG;Bahnhofstrasse, 35;D-38259;Salzgitter
3041;VIANEX S.A.;Tatoiou Street;GR-14671;Nea Erythrea, Athens
3452;SIFI S.P.A.;VIA ERCOLE PATTI, 36;I-95025;ACI S. ANTONIO (CATANIA)
3561;BAYER PLC;BAYER HOUSE, STRAWBERRY HILL;RG14 1JA;NEWBURY, BERKSHIRE
3756;LABORATORIOS MILO S.A.;AVDA. CONSTITUCION, NAVE 6;50410;Cuarte de Huerva (Zaragoza)
3769;VIVIAR;PISTA DE ADEMUZ KM. 9,400;46980;Paterna (Valencia)
3774;MAXFARMA, S.A.;Salamanca, 13;28020;Madrid
4617;LABORATOIRES S.M.B. S.A.;Rue de la pastorale, 26-28;B-1080;Bruselas
82;ALACÁN INDUSTRIAS QUÍMICO FARMACÉUTICAS S.A.;Capricornio, 5;3006;Alicante
98;ALCON COUVREUR;Rijksweg, 14;B-2870;Puurs, Antwerp
246;ASTRAZENECA S.P.A.;Palazzo Ferraris , via Ludovico il Moro 6/C;I-20080;BASIGLIO, MILAN
2150;PFIZER LIMITED;Ramsgate Road;CT13 9NJ;Sandwich, Kent
2366;LABORATORIO REIG JOFRE, S.A.;Balmes, 127;8930;San Adrian del Besos (Barcelona)
2689;GLAXOSMITHKLINE BIOLOGICALS;Rue De L'institut 89. Rixensart;B-1330;Rixensart
