"CodMun";"Municipio";"Extensión superficial (Km2). 2019";"Perímetro (m). 2019";"Altitud sobre el nivel del mar (m). 2019";"Número de núcleos que componen el municipio. 2023";"Distancia a la capital (Km). 2019";"Población total. 2023";"PobHombres23";"PobNucleos23";"PobDiseminados23";"EdadMedia22";"Porcentaje de población menor de 20 años. 2023";"Porcentaje de población mayor de 65 años. 2023";"Variación relativa de la población en diez años (%). 2012-2022";"Número de extranjeros. 2022";"Principal procedencia de los extranjeros residentes. 2022";"Emigraciones. 2022";"Inmigraciones. 2022";"Nacimientos. 2023";"Defunciones. 2023";"Matrimonios. 2023";"Alcaldía. 2023";"Hoteles. 2023";"Hostales y pensiones. 2023";"Plazas en hoteles. 2023";"Plazas en hostales y pensiones. 2023";"Tasa municipal de desempleo (%). 2023";"Renta bruta media. 2022";"Renta disponible media. 2022"
4036;"Chercos";13.55;15065.75;793;6;62.5;311;159;257;45;48.3;12.2;28.3;-2;22;"Reino Unido";14;24;1;5;2;"PARTIDO POPULAR";"-";"-";"-";"-";"12.4";"-";"-"
4037;"Chirivel";196.42;73248.09;1037;2;111.8;1549;801;1235;305;51.4;14.7;30.8;-16.6;157;"Reino Unido";103;154;11;23;3;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"-";"*";"-";"14.8";"18132";"15796"
4034;"Cóbdar";31.97;31604.12;606;1;67.8;207;112;179;23;53.5;9.7;32.9;2.6;9;"Reino Unido";3;39;1;2;1;"PARTIDO POPULAR";"-";"-";"-";"-";"15.5";"-";"-"
4035;"Cuevas del Almanzora";263.93;75790.55;95;26;89.9;14900;7745;14227;796;40.3;23.6;16.4;11.2;4078;"Marruecos";851;1003;170;128;44;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"*";"*";"*";"14.3";"19822";"16981"
4038;"Dalías";141.32;56993.62;411;2;41.1;4186;2076;4115;87;42.6;20.8;19.1;3;353;"Marruecos";137;182;36;56;17;"PARTIDO POPULAR";"-";"*";"-";"*";"12";"19316";"16621"
4902;"El Ejido";225.4;73855.99;72;14;32.8;89391;47024;82850;7125;37.4;24.9;10.2;5.3;27886;"Marruecos";4107;5170;920;452;233;"PARTIDO POPULAR";"5";"10";"1253";"338";"12.3";"19748";"16772"
4041;"Enix";66.78;53211.15;711;2;18.6;592;326;438;150;48;13.3;22.1;21.5;95;"Reino Unido";62;97;5;2;5;"PARTIDO POPULAR";"-";"-";"-";"-";"8.4";"-";"-"
4043;"Felix";81.2;41808.46;811;1;28;765;447;620;147;48.2;13.5;20;5.3;85;"Reino Unido";58;129;6;8;3;"PARTIDO POPULAR";"-";"-";"-";"-";"12";"-";"-"
4044;"Fines";23.06;26229.71;447;4;78.3;2228;1181;1996;239;42.1;19.5;15.5;-4.4;305;"Rumanía";125;188;12;15;13;"PARTIDO POPULAR";"-";"*";"-";"*";"17.899999999999999";"21223";"17878"
4045;"Fiñana";133.85;71061.83;949;1;67.5;2021;1028;1922;69;47.4;15;24.9;-16.4;112;"Marruecos";77;99;20;28;5;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"*";"-";"*";"21.5";"17165";"15180"
4046;"Fondón";91.09;58600.13;845;3;56;1094;571;1054;40;49.4;11.5;25.1;5.7;44;"Italia";58;115;6;12;3;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"*";"-";"*";"-";"13.3";"18604";"15959"
4047;"Gádor";87.6;62217.83;166;3;16;3034;1597;2671;358;41.4;21.6;17.3;-6.9;310;"Rumanía";171;207;20;31;7;"PARTIDO POPULAR";"-";"-";"-";"-";"25.5";"19247";"16514"
4049;"Garrucha";7.76;17339.61;7;1;82.5;10320;5383;10323;13;40.1;22.4;14.1;14.6;2750;"Marruecos";961;1334;107;80;50;"PARTIDO POPULAR";"*";"5";"*";"248";"15.3";"20569";"17465"
4050;"Gérgal";229.31;77372.07;744;7;38.3;1192;666;1094;97;44.3;18.3;19.8;2.7;287;"Marruecos";82;164;6;16;1;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"16.100000000000001";"17061";"15046"
