"","CodMun","Municipio"
"374",18171,"Salar"
"375",18173,"Salobreña"
"376",18174,"Santa Cruz del Comercio"
"377",18175,"Santa Fe"
"378",18176,"Soportújar"
"379",18177,"Sorvilán"
"380",18178,"Torre-Cardela"
"381",18916,"Torrenueva Costa"
"382",18179,"Torvizcón"
"383",18180,"Trevélez"
"384",18181,"Turón"
"385",18182,"Ugíjar"
"386",18914,"Valderrubio"
"387",18907,"Valle del Zalabí"
"388",18183,"Válor"
"389",18911,"Vegas del Genil"
"390",18184,"Vélez de Benaudalla"
"391",18185,"Ventas de Huelma"
"392",18149,"Villa de Otura"
"393",18908,"Villamena"
"394",18187,"Villanueva de las Torres"
"395",18188,"Villanueva Mesía"
"396",18189,"Víznar"
"397",18192,"Zafarraya"
"398",18913,"Zagra"
"399",18194,"Zújar"
"400",21001,"Alájar"
"401",21002,"Aljaraque"
"402",21004,"Almonaster la Real"
"403",21005,"Almonte"
"404",21006,"Alosno"
"405",21007,"Aracena"
"406",21008,"Aroche"
"407",21009,"Arroyomolinos de León"
"408",21010,"Ayamonte"
"409",21011,"Beas"
"410",21012,"Berrocal"
"411",21013,"Bollullos Par del Condado"
"412",21014,"Bonares"
"413",21015,"Cabezas Rubias"
"414",21016,"Cala"
"415",21017,"Calañas"
"416",21019,"Campofrío"
"417",21020,"Cañaveral de León"
"418",21021,"Cartaya"
"419",21022,"Castaño del Robledo"
"420",21030,"Chucena"
"421",21024,"Corteconcepción"
"422",21025,"Cortegana"
"423",21026,"Cortelazor"
"424",21027,"Cumbres de Enmedio"
"425",21028,"Cumbres de San Bartolomé"
"426",21029,"Cumbres Mayores"
"427",21003,"El Almendro"
"428",21018,"El Campillo"
"429",21023,"El Cerro de Andévalo"
"430",21037,"El Granado"
"431",21031,"Encinasola"
"432",21032,"Escacena del Campo"
"433",21033,"Fuenteheridos"
"434",21034,"Galaroza"
"435",21035,"Gibraleón"
"436",21038,"Higuera de la Sierra"
"437",21039,"Hinojales"
"438",21040,"Hinojos"
"439",21041,"Huelva"
"440",21042,"Isla Cristina"
"441",21043,"Jabugo"
"442",21036,"La Granada de Río-Tinto"
"443",21051,"La Nava"
"444",21054,"La Palma del Condado"
"445",21902,"La Zarza-Perrunal"
"446",21044,"Lepe"
"447",21045,"Linares de la Sierra"
"448",21048,"Los Marines"
"449",21046,"Lucena del Puerto"
"450",21047,"Manzanilla"
"451",21049,"Minas de Riotinto"
"452",21050,"Moguer"
"453",21052,"Nerva"
"454",21053,"Niebla"
"455",21055,"Palos de la Frontera"
"456",21056,"Paterna del Campo"
"457",21057,"Paymogo"
"458",21058,"Puebla de Guzmán"
"459",21059,"Puerto Moral"
"460",21060,"Punta Umbría"
"461",21061,"Rociana del Condado"
"462",21062,"Rosal de la Frontera"
"463",21063,"San Bartolomé de la Torre"
"464",21064,"San Juan del Puerto"
"465",21066,"San Silvestre de Guzmán"
"466",21065,"Sanlúcar de Guadiana"
"467",21067,"Santa Ana la Real"
"468",21068,"Santa Bárbara de Casa"
"469",21069,"Santa Olalla del Cala"
"470",21070,"Trigueros"
"471",21071,"Valdelarco"
"472",21072,"Valverde del Camino"
"473",21073,"Villablanca"
"474",21074,"Villalba del Alcor"
"475",21075,"Villanueva de las Cruces"
"476",21076,"Villanueva de los Castillejos"
"477",21077,"Villarrasa"
"478",21078,"Zalamea la Real"
"479",21079,"Zufre"
"480",23001,"Albanchez de Mágina"
"481",23002,"Alcalá la Real"
"482",23003,"Alcaudete"
"483",23004,"Aldeaquemada"
"484",23005,"Andújar"
"485",23006,"Arjona"
"486",23007,"Arjonilla"
"487",23008,"Arquillos"
"488",23905,"Arroyo del Ojanco"
"489",23009,"Baeza"
"490",23010,"Bailén"
"491",23011,"Baños de la Encina"
"492",23012,"Beas de Segura"
"493",23902,"Bedmar y Garcíez"
"494",23014,"Begíjar"
"495",23015,"Bélmez de la Moraleda"
"496",23016,"Benatae"
"497",23017,"Cabra del Santo Cristo"
"498",23018,"Cambil"
"499",23019,"Campillo de Arenas"
"500",23020,"Canena"
"501",23021,"Carboneros"
"502",23901,"Cárcheles"
"503",23025,"Castellar"
"504",23026,"Castillo de Locubín"
"505",23027,"Cazalilla"
"506",23028,"Cazorla"
"507",23029,"Chiclana de Segura"
"508",23030,"Chilluévar"
"509",23031,"Escañuela"
"510",23032,"Espeluy"
"511",23033,"Frailes"
"512",23034,"Fuensanta de Martos"
"513",23035,"Fuerte del Rey"
"514",23037,"Génave"
"515",23039,"Guarromán"
"516",23041,"Higuera de Calatrava"
"517",23042,"Hinojares"
"518",23043,"Hornos"
"519",23044,"Huelma"
"520",23045,"Huesa"
"521",23046,"Ibros"
"522",23048,"Iznatoraf"
"523",23049,"Jabalquinto"
"524",23050,"Jaén"
"525",23051,"Jamilena"
"526",23052,"Jimena"
"527",23053,"Jódar"
"528",23024,"La Carolina"
"529",23038,"La Guardia de Jaén"
"530",23047,"La Iruela"
"531",23072,"La Puerta de Segura"
"532",23040,"Lahiguera"
"533",23054,"Larva"
"534",23055,"Linares"
"535",23056,"Lopera"
"536",23099,"Los Villares"
"537",23057,"Lupión"
"538",23058,"Mancha Real"
"539",23059,"Marmolejo"
"540",23060,"Martos"
"541",23061,"Mengíbar"
"542",23062,"Montizón"
"543",23063,"Navas de San Juan"
"544",23064,"Noalejo"
"545",23065,"Orcera"
"546",23066,"Peal de Becerro"
"547",23067,"Pegalajar"
"548",23069,"Porcuna"
"549",23070,"Pozo Alcón"
"550",23071,"Puente de Génave"
"551",23073,"Quesada"
"552",23074,"Rus"
"553",23075,"Sabiote"
"554",23076,"Santa Elena"
"555",23077,"Santiago de Calatrava"
"556",23904,"Santiago-Pontones"
"557",23079,"Santisteban del Puerto"
"558",23080,"Santo Tomé"
"559",23081,"Segura de la Sierra"
"560",23082,"Siles"
"561",23084,"Sorihuela del Guadalimar"
"562",23085,"Torreblascopedro"
"563",23086,"Torredelcampo"
"564",23087,"Torredonjimeno"
"565",23088,"Torreperogil"
"566",23090,"Torres"
"567",23091,"Torres de Albánchez"
"568",23092,"Úbeda"
"569",23093,"Valdepeñas de Jaén"
"570",23094,"Vilches"
"571",23095,"Villacarrillo"
"572",23096,"Villanueva de la Reina"
"573",23097,"Villanueva del Arzobispo"
"574",23098,"Villardompardo"
"575",23101,"Villarrodrigo"
"576",23903,"Villatorres"
"577",29001,"Alameda"
"578",29002,"Alcaucín"
"579",29003,"Alfarnate"
"580",29004,"Alfarnatejo"
"581",29005,"Algarrobo"
"582",29006,"Algatocín"
"583",29007,"Alhaurín de la Torre"
"584",29008,"Alhaurín el Grande"
"585",29009,"Almáchar"
"586",29010,"Almargen"
"587",29011,"Almogía"
"588",29012,"Álora"
"589",29013,"Alozaina"
"590",29014,"Alpandeire"
"591",29015,"Antequera"
"592",29016,"Árchez"
"593",29017,"Archidona"
"594",29018,"Ardales"
"595",29019,"Arenas"
"596",29020,"Arriate"
"597",29021,"Atajate"
"598",29022,"Benadalid"
"599",29023,"Benahavís"
"600",29024,"Benalauría"
"601",29025,"Benalmádena"
"602",29026,"Benamargosa"
"603",29027,"Benamocarra"
"604",29028,"Benaoján"
"605",29029,"Benarrabá"
"606",29032,"Campillos"
"607",29033,"Canillas de Aceituno"
"608",29034,"Canillas de Albaida"
"609",29035,"Cañete la Real"
"610",29036,"Carratraca"
"611",29037,"Cartajima"
"612",29038,"Cártama"
"613",29039,"Casabermeja"
"614",29040,"Casarabonela"
"615",29041,"Casares"
"616",29042,"Coín"
"617",29043,"Colmenar"
"618",29044,"Comares"
"619",29045,"Cómpeta"
"620",29046,"Cortes de la Frontera"
"621",29047,"Cuevas Bajas"
"622",29049,"Cuevas de San Marcos"
"623",29048,"Cuevas del Becerro"
"624",29050,"Cútar"
"625",29030,"El Borge"
"626",29031,"El Burgo"
"627",29051,"Estepona"
"628",29052,"Faraján"
"629",29053,"Frigiliana"
"630",29054,"Fuengirola"
"631",29055,"Fuente de Piedra"
"632",29056,"Gaucín"
"633",29057,"Genalguacil"
"634",29058,"Guaro"
"635",29059,"Humilladero"
"636",29060,"Igualeja"
"637",29061,"Istán"
"638",29062,"Iznate"
"639",29063,"Jimera de Líbar"
"640",29064,"Jubrique"
"641",29065,"Júzcar"
"642",29066,"Macharaviaya"
"643",29067,"Málaga"
"644",29068,"Manilva"
"645",29069,"Marbella"
"646",29070,"Mijas"
"647",29071,"Moclinejo"
"648",29072,"Mollina"
"649",29073,"Monda"
"650",29903,"Montecorto"
"651",29074,"Montejaque"
"652",29075,"Nerja"
"653",29076,"Ojén"
"654",29077,"Parauta"
"655",29079,"Periana"
"656",29080,"Pizarra"
"657",29081,"Pujerra"
"658",29082,"Rincón de la Victoria"
"659",29083,"Riogordo"
"660",29084,"Ronda"
"661",29085,"Salares"
"662",29086,"Sayalonga"
"663",29087,"Sedella"
"664",29904,"Serrato"
"665",29088,"Sierra de Yeguas"
"666",29089,"Teba"
"667",29090,"Tolox"
"668",29901,"Torremolinos"
"669",29091,"Torrox"
"670",29092,"Totalán"
"671",29093,"Valle de Abdalajís"
"672",29094,"Vélez-Málaga"
"673",29095,"Villanueva de Algaidas"
"674",29902,"Villanueva de la Concepción"
"675",29098,"Villanueva de Tapia"
"676",29096,"Villanueva del Rosario"
"677",29097,"Villanueva del Trabuco"
"678",29099,"Viñuela"
"679",29100,"Yunquera"
"680",41001,"Aguadulce"
"681",41002,"Alanís"
"682",41003,"Albaida del Aljarafe"
"683",41004,"Alcalá de Guadaíra"
"684",41005,"Alcalá del Río"
"685",41006,"Alcolea del Río"
"686",41008,"Algámitas"
"687",41009,"Almadén de la Plata"
"688",41010,"Almensilla"
"689",41011,"Arahal"
"690",41012,"Aznalcázar"
"691",41013,"Aznalcóllar"
"692",41014,"Badolatosa"
"693",41015,"Benacazón"
"694",41016,"Bollullos de la Mitación"
"695",41017,"Bormujos"
"696",41018,"Brenes"
"697",41019,"Burguillos"
"698",41021,"Camas"
"699",41023,"Cantillana"
"700",41901,"Cañada Rosal"
"701",41024,"Carmona"
"702",41025,"Carrión de los Céspedes"
"703",41026,"Casariche"
"704",41027,"Castilblanco de los Arroyos"
"705",41028,"Castilleja de Guzmán"
"706",41029,"Castilleja de la Cuesta"
"707",41030,"Castilleja del Campo"
"708",41032,"Cazalla de la Sierra"
"709",41033,"Constantina"
"710",41034,"Coria del Río"
"711",41035,"Coripe"
"712",41038,"Dos Hermanas"
"713",41039,"Écija"
"714",41031,"El Castillo de las Guardas"
"715",41036,"El Coronil"
"716",41903,"El Cuervo de Sevilla"
"717",41043,"El Garrobo"
"718",41057,"El Madroño"
"719",41904,"El Palmar de Troya"
"720",41073,"El Pedroso"
"721",41080,"El Real de la Jara"
"722",41083,"El Ronquillo"
"723",41084,"El Rubio"
"724",41090,"El Saucejo"
"725",41102,"El Viso del Alcor"
"726",41040,"Espartinas"
"727",41041,"Estepa"
"728",41042,"Fuentes de Andalucía"
"729",41044,"Gelves"
"730",41045,"Gerena"
"731",41046,"Gilena"
"732",41047,"Gines"
"733",41048,"Guadalcanal"
"734",41049,"Guillena"
"735",41050,"Herrera"
"736",41051,"Huévar del Aljarafe"
"737",41902,"Isla Mayor"
"738",41007,"La Algaba"
"739",41022,"La Campana"
"740",41056,"La Luisiana"
"741",41077,"La Puebla de Cazalla"
"742",41078,"La Puebla de los Infantes"
"743",41079,"La Puebla del Río"
"744",41081,"La Rinconada"
"745",41082,"La Roda de Andalucía"
"746",41052,"Lantejuela"
"747",41020,"Las Cabezas de San Juan"
"748",41066,"Las Navas de la Concepción"
"749",41053,"Lebrija"
"750",41054,"Lora de Estepa"
"751",41055,"Lora del Río"
"752",41037,"Los Corrales"
"753",41063,"Los Molares"
"754",41069,"Los Palacios y Villafranca"
"755",41058,"Mairena del Alcor"
"756",41059,"Mairena del Aljarafe"
"757",41060,"Marchena"
"758",41061,"Marinaleda"
"759",41062,"Martín de la Jara"
"760",41064,"Montellano"
"761",41065,"Morón de la Frontera"
"762",41067,"Olivares"
"763",41068,"Osuna"
"764",41070,"Palomares del Río"
"765",41071,"Paradas"
"766",41072,"Pedrera"
"767",41074,"Peñaflor"
"768",41075,"Pilas"
"769",41076,"Pruna"
"770",41085,"Salteras"
"771",41086,"San Juan de Aznalfarache"
"772",41088,"San Nicolás del Puerto"
